Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
BDCQ.SF1AA3CA,2016.12,1390.589,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
BDCQ.SF1AA3CA,2017.03,1310.912,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
BDCQ.SF1AA3CA,2017.06,1241.466,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
BDCQ.SF1AA3CA,2017.09,1288.648,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
BDCQ.SF1AA3CA,2017.12,1772.086,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
BDCQ.SF1AA3CA,2018.03,1554.221,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
BDCQ.SF1AA3CA,2018.06,1441.386,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
BDCQ.SF1AA3CA,2018.09,1364.769,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
BDCQ.SF1AA3CA,2018.12,1771.028,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
BDCQ.SF1AA3CA,2019.03,1665.84,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
BDCQ.SF1AA3CA,2019.06,1554.397,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
BDCQ.SF1AA3CA,2019.09,1484.434,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
BDCQ.SF1AA3CA,2019.12,1817.118,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
BDCQ.SF1AA3CA,2020.03,1582.915,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
BDCQ.SF1AA3CA,2020.06,1421.593,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
BDCQ.SF1AA3CA,2020.09,1576.216,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
BDCQ.SF1AA3CA,2020.12,2049.573,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
BDCQ.SF1BB1CA,2016.06,1119.02,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2016.09,1101.412,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2016.12,1139.459,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2017.03,1040.5,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2017.06,1150.976,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2017.09,1084.658,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2017.12,1352.84,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2018.03,1224.534,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2018.06,1105.167,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2018.09,1372.723,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2018.12,1230.969,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2019.03,1115.478,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2019.06,1210.962,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2019.09,1234.819,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2019.12,1276.337,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2020.03,1080.713,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2020.06,847.349,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2020.09,925.547,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1BB1CA,2020.12,1085.539,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
BDCQ.SF1CC1CA,2016.06,10624.465,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2016.09,9110.709,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2016.12,12084.429,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2017.03,11804.216,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2017.06,12150.005,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2017.09,10399.584,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2017.12,13705.071,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2018.03,12745.412,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2018.06,12574.246,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2018.09,10633.605,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2018.12,13806.468,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2019.03,13704.407,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2019.06,13035.873,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2019.09,11170.665,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2019.12,15202.125,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2020.03,14614.474,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2020.06,13680.374,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2020.09,11412.16,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2020.12,14511.515,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2016.06,586.399,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2016.09,577.941,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2016.12,571.523,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2017.03,572.279,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2017.06,553.194,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2017.09,541.03,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2017.12,592.754,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2018.03,530.018,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2018.06,556.048,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2018.09,541.341,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2018.12,565.895,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2019.03,527.25,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2019.06,549.739,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2019.09,524.132,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2019.12,516.651,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2020.03,444.847,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2020.06,348.318,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2020.09,503.119,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2020.12,475.924,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC3CA,2016.06,2247.71,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2016.09,2216.005,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2016.12,2201.123,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2017.03,2063.277,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2017.06,2242.174,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2017.09,2279.911,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2017.12,2361.189,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2018.03,2229.447,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2018.06,2412.505,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2018.09,2449.281,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2018.12,2429.15,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2019.03,2175.696,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2019.06,2428.645,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2019.09,2409.721,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2019.12,2345.636,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2020.03,2247.182,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2020.06,1963.658,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2020.09,2421.896,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2020.12,2480.628,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2016.06,378.816,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2016.09,382.97,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2016.12,439.04,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2017.03,339.726,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2017.06,363.012,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2017.09,379.748,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2017.12,403.359,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2018.03,345.957,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2018.06,370.112,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2018.09,385.258,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2018.12,407.693,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2019.03,345.4,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2019.06,364.445,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2019.09,386.209,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2019.12,409.094,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2020.03,327.183,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2020.06,257.649,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2020.09,353.746,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2020.12,384.357,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC5CA,2016.06,3734.807,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Petroleum, Chemical, Polymer and Rubber Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC5CA,2016.09,3957.477,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Petroleum, Chemical, Polymer and Rubber Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC5CA,2016.12,4576.421,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Petroleum, Chemical, Polymer and Rubber Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC5CA,2017.03,4505.752,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Petroleum, Chemical, Polymer and Rubber Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC5CA,2017.06,4184.357,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Petroleum, Chemical, Polymer and Rubber Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC5CA,2017.09,4205.956,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Petroleum, Chemical, Polymer and Rubber Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC5CA,2017.12,5226.248,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Petroleum, Chemical, Polymer and Rubber Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC5CA,2018.03,4827.727,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Petroleum, Chemical, Polymer and Rubber Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC5CA,2018.06,4697.729,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Petroleum, Chemical, Polymer and Rubber Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC5CA,2018.09,5088.738,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Petroleum, Chemical, Polymer and Rubber Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC5CA,2018.12,5583.698,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Petroleum, Chemical, Polymer and Rubber Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC5CA,2019.03,4657.027,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Petroleum, Chemical, Polymer and Rubber Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC5CA,2019.06,4601.594,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Petroleum, Chemical, Polymer and Rubber Product Manufacturing",Current prices,Unadjusted,
